"TIME","GEO","NRG_BAL","SIEC","UNIT","Value"
"2012","Norway","Inland consumption - calculated","Renewable municipal waste","Terajoule","7,080.000"
"2012","United Kingdom","Inland consumption - calculated","Geothermal","Terajoule","33.000"
"2012","United Kingdom","Inland consumption - calculated","Solar thermal","Terajoule","1,921.000"
"2012","United Kingdom","Inland consumption - calculated","Primary solid biofuels","Terajoule","130,142.000"
"2012","United Kingdom","Inland consumption - calculated","Biogases","Terajoule","82,643.000"
"2012","United Kingdom","Inland consumption - calculated","Renewable municipal waste","Terajoule","20,246.000"
"2012","Montenegro","Inland consumption - calculated","Geothermal","Terajoule","0.000"
"2012","Montenegro","Inland consumption - calculated","Solar thermal","Terajoule","0.000"
"2012","Montenegro","Inland consumption - calculated","Primary solid biofuels","Terajoule","7,337.000"
"2012","Montenegro","Inland consumption - calculated","Biogases","Terajoule","0.000"
"2012","Montenegro","Inland consumption - calculated","Renewable municipal waste","Terajoule","0.000"
"2012","North Macedonia","Inland consumption - calculated","Geothermal","Terajoule","431.000"
"2012","North Macedonia","Inland consumption - calculated","Solar thermal","Terajoule","0.000"
"2012","North Macedonia","Inland consumption - calculated","Primary solid biofuels","Terajoule","9,501.000"
"2012","North Macedonia","Inland consumption - calculated","Biogases","Terajoule","0.000"
"2012","North Macedonia","Inland consumption - calculated","Renewable municipal waste","Terajoule","0.000"
"2012","Albania","Inland consumption - calculated","Geothermal","Terajoule","0.000"
"2012","Albania","Inland consumption - calculated","Solar thermal","Terajoule","494.000"
"2012","Albania","Inland consumption - calculated","Primary solid biofuels","Terajoule","8,646.000"
"2012","Albania","Inland consumption - calculated","Biogases","Terajoule","0.000"
"2012","Albania","Inland consumption - calculated","Renewable municipal waste","Terajoule","0.000"
"2012","Serbia","Inland consumption - calculated","Geothermal","Terajoule","261.000"
"2012","Serbia","Inland consumption - calculated","Solar thermal","Terajoule","0.000"
"2012","Serbia","Inland consumption - calculated","Primary solid biofuels","Terajoule","43,690.000"
"2012","Serbia","Inland consumption - calculated","Biogases","Terajoule","39.000"
"2012","Serbia","Inland consumption - calculated","Renewable municipal waste","Terajoule","0.000"
"2012","Turkey","Inland consumption - calculated","Geothermal","Terajoule","93,636.000"
"2012","Turkey","Inland consumption - calculated","Solar thermal","Terajoule","32,155.000"
"2012","Turkey","Inland consumption - calculated","Primary solid biofuels","Terajoule","145,092.000"
"2012","Turkey","Inland consumption - calculated","Biogases","Terajoule","5,387.000"
"2012","Turkey","Inland consumption - calculated","Renewable municipal waste","Terajoule","0.000"
"2012","Bosnia and Herzegovina","Inland consumption - calculated","Geothermal","Terajoule",":"
"2012","Bosnia and Herzegovina","Inland consumption - calculated","Solar thermal","Terajoule",":"
"2012","Bosnia and Herzegovina","Inland consumption - calculated","Primary solid biofuels","Terajoule",":"
"2012","Bosnia and Herzegovina","Inland consumption - calculated","Biogases","Terajoule",":"
"2012","Bosnia and Herzegovina","Inland consumption - calculated","Renewable municipal waste","Terajoule",":"
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","Inland consumption - calculated","Geothermal","Terajoule","0.000"
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","Inland consumption - calculated","Solar thermal","Terajoule","11.000"
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","Inland consumption - calculated","Primary solid biofuels","Terajoule","10,362.000"
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","Inland consumption - calculated","Biogases","Terajoule","0.000"
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","Inland consumption - calculated","Renewable municipal waste","Terajoule","0.000"
"2012","Moldova","Inland consumption - calculated","Geothermal","Terajoule","0.000"
"2012","Moldova","Inland consumption - calculated","Solar thermal","Terajoule","0.000"
"2012","Moldova","Inland consumption - calculated","Primary solid biofuels","Terajoule","24,107.000"
"2012","Moldova","Inland consumption - calculated","Biogases","Terajoule","0.000"
"2012","Moldova","Inland consumption - calculated","Renewable municipal waste","Terajoule","0.000"
"2012","Ukraine","Inland consumption - calculated","Geothermal","Terajoule","0.000"
"2012","Ukraine","Inland consumption - calculated","Solar thermal","Terajoule","0.000"
"2012","Ukraine","Inland consumption - calculated","Primary solid biofuels","Terajoule","73,482.000"
"2012","Ukraine","Inland consumption - calculated","Biogases","Terajoule","0.000"
"2012","Ukraine","Inland consumption - calculated","Renewable municipal waste","Terajoule","0.000"
"2012","Georgia","Inland consumption - calculated","Geothermal","Terajoule",":"
"2012","Georgia","Inland consumption - calculated","Solar thermal","Terajoule",":"
"2012","Georgia","Inland consumption - calculated","Primary solid biofuels","Terajoule",":"
"2012","Georgia","Inland consumption - calculated","Biogases","Terajoule",":"
"2012","Georgia","Inland consumption - calculated","Renewable municipal waste","Terajoule",":"
"2013","European Union - 27 countries (from 2020)","Inland consumption - calculated","Geothermal","Terajoule","249,112.417"
"2013","European Union - 27 countries (from 2020)","Inland consumption - calculated","Solar thermal","Terajoule","156,213.393"
"2013","European Union - 27 countries (from 2020)","Inland consumption - calculated","Primary solid biofuels","Terajoule","3,896,676.028"
"2013","European Union - 27 countries (from 2020)","Inland consumption - calculated","Biogases","Terajoule","497,822.945"
"2013","European Union - 27 countries (from 2020)","Inland consumption - calculated","Renewable municipal waste","Terajoule","360,060.752"
"2013","Euro area - 19 countries  (from 2015)","Inland consumption - calculated","Geothermal","Terajoule","240,608.417"
"2013","Euro area - 19 countries  (from 2015)","Inland consumption - calculated","Solar thermal","Terajoule","151,590.871"
"2013","Euro area - 19 countries  (from 2015)","Inland consumption - calculated","Primary solid biofuels","Terajoule","2,656,898.106"
"2013","Euro area - 19 countries  (from 2015)","Inland consumption - calculated","Biogases","Terajoule","450,718.113"
"2013","Euro area - 19 countries  (from 2015)","Inland consumption - calculated","Renewable municipal waste","Terajoule","297,383.752"
"2013","Belgium","Inland consumption - calculated","Geothermal","Terajoule","115.000"
"2013","Belgium","Inland consumption - calculated","Solar thermal","Terajoule","769.600"
"2013","Belgium","Inland consumption - calculated","Primary solid biofuels","Terajoule","85,197.600"
"2013","Belgium","Inland consumption - calculated","Biogases","Terajoule","8,358.600"
"2013","Belgium","Inland consumption - calculated","Renewable municipal waste","Terajoule","14,870.500"
"2013","Bulgaria","Inland consumption - calculated","Geothermal","Terajoule","1,400.000"
"2013","Bulgaria","Inland consumption - calculated","Solar thermal","Terajoule","798.000"
"2013","Bulgaria","Inland consumption - calculated","Primary solid biofuels","Terajoule","43,151.000"
"2013","Bulgaria","Inland consumption - calculated","Biogases","Terajoule","93.000"
"2013","Bulgaria","Inland consumption - calculated","Renewable municipal waste","Terajoule","728.000"
