TIME,GEO,NRG_BAL,SIEC,UNIT,Value
2013,Euro area - 19 countries  (from 2015),Inland consumption - calculated,Renewable municipal waste,Terajoule,297383.8
2013,Belgium,Inland consumption - calculated,Geothermal,Terajoule,115
2013,Belgium,Inland consumption - calculated,Solar thermal,Terajoule,769.6
2013,Belgium,Inland consumption - calculated,Primary solid biofuels,Terajoule,85197.6
2013,Belgium,Inland consumption - calculated,Biogases,Terajoule,8358.6
2013,Belgium,Inland consumption - calculated,Renewable municipal waste,Terajoule,14870.5
2013,Bulgaria,Inland consumption - calculated,Geothermal,Terajoule,1400
2013,Bulgaria,Inland consumption - calculated,Solar thermal,Terajoule,798
2013,Bulgaria,Inland consumption - calculated,Primary solid biofuels,Terajoule,43151
2013,Bulgaria,Inland consumption - calculated,Biogases,Terajoule,93
2013,Bulgaria,Inland consumption - calculated,Renewable municipal waste,Terajoule,728
2013,Czechia,Inland consumption - calculated,Geothermal,Terajoule,0
2013,Czechia,Inland consumption - calculated,Solar thermal,Terajoule,572.7
2013,Czechia,Inland consumption - calculated,Primary solid biofuels,Terajoule,110949
2013,Czechia,Inland consumption - calculated,Biogases,Terajoule,23910
2013,Czechia,Inland consumption - calculated,Renewable municipal waste,Terajoule,3472
2013,Denmark,Inland consumption - calculated,Geothermal,Terajoule,229
2013,Denmark,Inland consumption - calculated,Solar thermal,Terajoule,1026.9
2013,Denmark,Inland consumption - calculated,Primary solid biofuels,Terajoule,101697.9
2013,Denmark,Inland consumption - calculated,Biogases,Terajoule,4587.8
2013,Denmark,Inland consumption - calculated,Renewable municipal waste,Terajoule,20602
2013,Germany,Inland consumption - calculated,Geothermal,Terajoule,6192
2013,Germany,Inland consumption - calculated,Solar thermal,Terajoule,24123
2013,Germany,Inland consumption - calculated,Primary solid biofuels,Terajoule,598787
2013,Germany,Inland consumption - calculated,Biogases,Terajoule,280646
2013,Germany,Inland consumption - calculated,Renewable municipal waste,Terajoule,122530
2013,Estonia,Inland consumption - calculated,Geothermal,Terajoule,0
2013,Estonia,Inland consumption - calculated,Solar thermal,Terajoule,0
2013,Estonia,Inland consumption - calculated,Primary solid biofuels,Terajoule,33203
2013,Estonia,Inland consumption - calculated,Biogases,Terajoule,302
2013,Estonia,Inland consumption - calculated,Renewable municipal waste,Terajoule,0
2013,Ireland,Inland consumption - calculated,Geothermal,Terajoule,0
2013,Ireland,Inland consumption - calculated,Solar thermal,Terajoule,423
