TIME,GEO,SIEC,PLANT_TEC,UNIT,Value
2012,Cyprus,Pure biogasoline,Production capacity,Thousand tonnes per year,0.00
2012,Cyprus,Pure biodiesels,Production capacity,Thousand tonnes per year,14.08
2012,Cyprus,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,Cyprus,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2012,Latvia,Pure biogasoline,Production capacity,Thousand tonnes per year,25.00
2012,Latvia,Pure biodiesels,Production capacity,Thousand tonnes per year,173.00
2012,Latvia,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,Latvia,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2012,Lithuania,Pure biogasoline,Production capacity,Thousand tonnes per year,60.00
2012,Lithuania,Pure biodiesels,Production capacity,Thousand tonnes per year,140.00
2012,Lithuania,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,Lithuania,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2012,Luxembourg,Pure biogasoline,Production capacity,Thousand tonnes per year,0.00
2012,Luxembourg,Pure biodiesels,Production capacity,Thousand tonnes per year,0.00
2012,Luxembourg,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,Luxembourg,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2012,Hungary,Pure biogasoline,Production capacity,Thousand tonnes per year,298.00
2012,Hungary,Pure biodiesels,Production capacity,Thousand tonnes per year,150.00
2012,Hungary,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,Hungary,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2012,Malta,Pure biogasoline,Production capacity,Thousand tonnes per year,0.00
2012,Malta,Pure biodiesels,Production capacity,Thousand tonnes per year,1.40
2012,Malta,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,Malta,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2012,Netherlands,Pure biogasoline,Production capacity,Thousand tonnes per year,0.00
2012,Netherlands,Pure biodiesels,Production capacity,Thousand tonnes per year,2051.00
2012,Netherlands,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,Netherlands,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2012,Austria,Pure biogasoline,Production capacity,Thousand tonnes per year,191.00
2012,Austria,Pure biodiesels,Production capacity,Thousand tonnes per year,645.50
2012,Austria,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,Austria,Other liquid biofuels,Production capacity,Thousand tonnes per year,645.50
2012,Poland,Pure biogasoline,Production capacity,Thousand tonnes per year,408.80
2012,Poland,Pure biodiesels,Production capacity,Thousand tonnes per year,922.50
2012,Poland,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,Poland,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2012,Portugal,Pure biogasoline,Production capacity,Thousand tonnes per year,0.00
2012,Portugal,Pure biodiesels,Production capacity,Thousand tonnes per year,721.31
2012,Portugal,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,Portugal,Other liquid biofuels,Production capacity,Thousand tonnes per year,12.66
2012,Romania,Pure biogasoline,Production capacity,Thousand tonnes per year,89.00
2012,Romania,Pure biodiesels,Production capacity,Thousand tonnes per year,206.50
2012,Romania,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,Romania,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2012,Slovenia,Pure biogasoline,Production capacity,Thousand tonnes per year,0.00
2012,Slovenia,Pure biodiesels,Production capacity,Thousand tonnes per year,25.00
2012,Slovenia,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,Slovenia,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2012,Slovakia,Pure biogasoline,Production capacity,Thousand tonnes per year,103.00
2012,Slovakia,Pure biodiesels,Production capacity,Thousand tonnes per year,120.00
2012,Slovakia,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,Slovakia,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2012,Finland,Pure biogasoline,Production capacity,Thousand tonnes per year,15.00
2012,Finland,Pure biodiesels,Production capacity,Thousand tonnes per year,380.00
2012,Finland,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,Finland,Other liquid biofuels,Production capacity,Thousand tonnes per year,20.00
2012,Sweden,Pure biogasoline,Production capacity,Thousand tonnes per year,187.55
2012,Sweden,Pure biodiesels,Production capacity,Thousand tonnes per year,285.80
2012,Sweden,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,Sweden,Other liquid biofuels,Production capacity,Thousand tonnes per year,122.89
2012,United Kingdom,Pure biogasoline,Production capacity,Thousand tonnes per year,710.63
2012,United Kingdom,Pure biodiesels,Production capacity,Thousand tonnes per year,516.20
2012,United Kingdom,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2012,United Kingdom,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2013,European Union - 27 countries (from 2020),Pure biogasoline,Production capacity,Thousand tonnes per year,5072.84
2013,European Union - 27 countries (from 2020),Pure biodiesels,Production capacity,Thousand tonnes per year,21448.23
2013,European Union - 27 countries (from 2020),Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2013,European Union - 27 countries (from 2020),Other liquid biofuels,Production capacity,Thousand tonnes per year,2971.28
2013,Euro area - 19 countries  (from 2015),Pure biogasoline,Production capacity,Thousand tonnes per year,3916.80
2013,Euro area - 19 countries  (from 2015),Pure biodiesels,Production capacity,Thousand tonnes per year,19454.89
2013,Euro area - 19 countries  (from 2015),Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2013,Euro area - 19 countries  (from 2015),Other liquid biofuels,Production capacity,Thousand tonnes per year,2778.65
2013,Belgium,Pure biogasoline,Production capacity,Thousand tonnes per year,369.00
2013,Belgium,Pure biodiesels,Production capacity,Thousand tonnes per year,665.00
2013,Belgium,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2013,Belgium,Other liquid biofuels,Production capacity,Thousand tonnes per year,71.15
2013,Bulgaria,Pure biogasoline,Production capacity,Thousand tonnes per year,21.90
2013,Bulgaria,Pure biodiesels,Production capacity,Thousand tonnes per year,63.74
2013,Bulgaria,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2013,Bulgaria,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
