TIME,GEO,SIEC,PLANT_TEC,UNIT,Value,rank
2011,Romania,Solid Biofuels,Net maximum electrical capacity,Megawatt,26,0
2011,Slovenia,Hydro,Net maximum electrical capacity,Megawatt,1253,0
2011,Slovenia,Wind,Net maximum electrical capacity,Megawatt,0,0
2011,Slovenia,Solar,Net maximum electrical capacity,Megawatt,57,0
2011,Slovenia,Solid Biofuels,Net maximum electrical capacity,Megawatt,33,0
2011,Slovakia,Hydro,Net maximum electrical capacity,Megawatt,2523,0
2011,Slovakia,Wind,Net maximum electrical capacity,Megawatt,3,0
2011,Slovakia,Solar,Net maximum electrical capacity,Megawatt,496,0
2011,Slovakia,Solid Biofuels,Net maximum electrical capacity,Megawatt,171,0
2011,Finland,Hydro,Net maximum electrical capacity,Megawatt,3080,0
2011,Finland,Wind,Net maximum electrical capacity,Megawatt,199,0
2011,Finland,Solar,Net maximum electrical capacity,Megawatt,7,0
2011,Finland,Solid Biofuels,Net maximum electrical capacity,Megawatt,1759,0
2011,Sweden,Hydro,Net maximum electrical capacity,Megawatt,16577,0
2011,Sweden,Hydro,Net maximum electrical capacity,Megawatt,16577,1
2011,Sweden,Hydro,Net maximum electrical capacity,Megawatt,16577,2
2011,Sweden,Hydro,Net maximum electrical capacity,Megawatt,16577,3
2011,Sweden,Hydro,Net maximum electrical capacity,Megawatt,16577,4
2011,Sweden,Wind,Net maximum electrical capacity,Megawatt,2764,0
2011,Sweden,Solar,Net maximum electrical capacity,Megawatt,12,0
2011,Sweden,Solid Biofuels,Net maximum electrical capacity,Megawatt,3397,0
2011,United Kingdom,Hydro,Net maximum electrical capacity,Megawatt,4423,0
2011,United Kingdom,Wind,Net maximum electrical capacity,Megawatt,6596.29,0
2011,United Kingdom,Wind,Net maximum electrical capacity,Megawatt,6596.29,1
2011,United Kingdom,Solar,Net maximum electrical capacity,Megawatt,1000,0
2011,United Kingdom,Solid Biofuels,Net maximum electrical capacity,Megawatt,1627,0
2012,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144944.17,0
2012,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144944.17,1
2012,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144944.17,2
2012,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144944.17,3
2012,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144944.17,4
2012,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144944.17,5
2012,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144944.17,6
2012,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144944.17,7
2012,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144944.17,8
2012,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144944.17,9
2012,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144944.17,10
2012,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144944.17,11
2012,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144944.17,12
2012,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144944.17,13
2012,European Union - 27 countries (from 2020),Wind,Net maximum electrical capacity,Megawatt,97148.14,0
2012,European Union - 27 countries (from 2020),Wind,Net maximum electrical capacity,Megawatt,97148.14,1
2012,European Union - 27 countries (from 2020),Wind,Net maximum electrical capacity,Megawatt,97148.14,2
2012,European Union - 27 countries (from 2020),Wind,Net maximum electrical capacity,Megawatt,97148.14,3
2012,European Union - 27 countries (from 2020),Wind,Net maximum electrical capacity,Megawatt,97148.14,4
2012,European Union - 27 countries (from 2020),Wind,Net maximum electrical capacity,Megawatt,97148.14,5
2012,European Union - 27 countries (from 2020),Wind,Net maximum electrical capacity,Megawatt,97148.14,6
2012,European Union - 27 countries (from 2020),Wind,Net maximum electrical capacity,Megawatt,97148.14,7
2012,European Union - 27 countries (from 2020),Wind,Net maximum electrical capacity,Megawatt,97148.14,8
2012,European Union - 27 countries (from 2020),Solar,Net maximum electrical capacity,Megawatt,71132.43,0
2012,European Union - 27 countries (from 2020),Solar,Net maximum electrical capacity,Megawatt,71132.43,1
2012,European Union - 27 countries (from 2020),Solar,Net maximum electrical capacity,Megawatt,71132.43,2
2012,European Union - 27 countries (from 2020),Solar,Net maximum electrical capacity,Megawatt,71132.43,3
2012,European Union - 27 countries (from 2020),Solar,Net maximum electrical capacity,Megawatt,71132.43,4
2012,European Union - 27 countries (from 2020),Solar,Net maximum electrical capacity,Megawatt,71132.43,5
2012,European Union - 27 countries (from 2020),Solar,Net maximum electrical capacity,Megawatt,71132.43,6
2012,European Union - 27 countries (from 2020),Solid Biofuels,Net maximum electrical capacity,Megawatt,13455.02,0
2012,Euro area - 19 countries  (from 2015),Hydro,Net maximum electrical capacity,Megawatt,112043.91,0
2012,Euro area - 19 countries  (from 2015),Hydro,Net maximum electrical capacity,Megawatt,112043.91,1
2012,Euro area - 19 countries  (from 2015),Hydro,Net maximum electrical capacity,Megawatt,112043.91,2
2012,Euro area - 19 countries  (from 2015),Hydro,Net maximum electrical capacity,Megawatt,112043.91,3
2012,Euro area - 19 countries  (from 2015),Hydro,Net maximum electrical capacity,Megawatt,112043.91,4
2012,Euro area - 19 countries  (from 2015),Hydro,Net maximum electrical capacity,Megawatt,112043.91,5
