"TIME","GEO","PLANT_TEC","UNIT","Value"
"2013","Germany (until 1990 former territory of the FRG)","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","250.600"
"2013","Germany (until 1990 former territory of the FRG)","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Germany (until 1990 former territory of the FRG)","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2013","Estonia","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2013","Estonia","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2013","Estonia","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","0.000"
"2013","Ireland","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Ireland","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Ireland","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2013","Greece","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2013","Greece","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2013","Greece","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","0.000"
"2013","Spain","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","344.600"
"2013","Spain","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Spain","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2013","France","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","694.000"
"2013","France","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","124.000"
"2013","France","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","1,172.000"
"2013","Croatia","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2013","Croatia","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2013","Croatia","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","0.000"
"2013","Italy","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Italy","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Italy","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2013","Cyprus","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2013","Cyprus","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2013","Cyprus","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","0.000"
"2013","Latvia","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Latvia","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Latvia","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2013","Lithuania","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Lithuania","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Lithuania","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2013","Luxembourg","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Luxembourg","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Luxembourg","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2013","Hungary","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Hungary","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Hungary","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2013","Malta","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Malta","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Malta","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2013","Netherlands","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Netherlands","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Netherlands","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2013","Austria","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Austria","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Austria","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2013","Poland","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Poland","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Poland","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2013","Portugal","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Portugal","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Portugal","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2013","Romania","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","208.400"
"2013","Romania","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2013","Romania","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2013","Slovenia","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
