Continent,Year,Source,Value
Europe,1995,Renewables,2998.1348
Europe,1996,Fossil,35425.734
Europe,1996,Nuclear,4445.3027
Europe,1996,Renewables,2826.5044
Europe,1997,Fossil,34557.832
Europe,1997,Nuclear,4482.541
Europe,1997,Renewables,2955.0725
Europe,1998,Fossil,34703.06
Europe,1998,Nuclear,4430.983
Europe,1998,Renewables,3087.9836
Europe,1999,Fossil,34490.168
Europe,1999,Nuclear,4529.2236
Europe,1999,Renewables,3167.0334
Europe,2000,Fossil,34766.996
Europe,2000,Nuclear,4597.0796
Europe,2000,Renewables,3329.472
Europe,2001,Fossil,35210.906
Europe,2001,Nuclear,4720.3213
Europe,2001,Renewables,3391.0295
Europe,2002,Fossil,35118.402
Europe,2002,Nuclear,4759.195
Europe,2002,Renewables,3161.3528
Europe,2003,Fossil,35908.543
Europe,2003,Nuclear,4794.36
Europe,2003,Renewables,3044.3262
Europe,2004,Fossil,36128.684
Europe,2004,Nuclear,4805.209
Europe,2004,Renewables,3335.5405
Europe,2005,Fossil,36159.8
Europe,2005,Nuclear,4740.384
Europe,2005,Renewables,3443.3586
Europe,2006,Fossil,36706.965
Europe,2006,Nuclear,4722.8076
Europe,2006,Renewables,3489.5413
Europe,2007,Fossil,36287.94
Europe,2007,Nuclear,4503.1377
Europe,2007,Renewables,3680.6443
Europe,2008,Fossil,35884.48
Europe,2008,Nuclear,4472.223
Europe,2008,Renewables,3884.482
Europe,2009,Fossil,33260.492
Europe,2009,Nuclear,4252.8066
Europe,2009,Renewables,4014.7566
Europe,2010,Fossil,34383.883
Europe,2010,Nuclear,4342.2993
Europe,2010,Renewables,4323.4224
Europe,2011,Fossil,33907.75
Europe,2011,Nuclear,4288.837
Europe,2011,Renewables,4233.829
Europe,2012,Fossil,33422.234
Europe,2012,Nuclear,4179.8394
Europe,2012,Renewables,4671.887
Europe,2013,Fossil,32636.775
Europe,2013,Nuclear,4088.654
Europe,2013,Renewables,5017.844
Europe,2014,Fossil,31217.94
Europe,2014,Nuclear,4109.321
Europe,2014,Renewables,5125.5938
Europe,2015,Fossil,31021.873
Europe,2015,Nuclear,4045.0188
Europe,2015,Renewables,5229.8335
Europe,2016,Fossil,31490.72
Europe,2016,Nuclear,3928.3967
Europe,2016,Renewables,5340.091
Europe,2017,Fossil,31707.62
Europe,2017,Nuclear,3901.0188
Europe,2017,Renewables,5385.113
Europe,2018,Fossil,31832.111
Europe,2018,Nuclear,3878.068
Europe,2018,Renewables,5715.9253
Europe,2019,Fossil,31062.229
Europe,2019,Nuclear,3853.7354
Europe,2019,Renewables,5816.3604
Europe,2020,Fossil,28374.678
Europe,2020,Nuclear,3537.6477
Europe,2020,Renewables,6309.7847
Europe,2021,Fossil,30266.775
Europe,2021,Nuclear,3735.7673
Europe,2021,Renewables,6412.611
Europe,2022,Fossil,28721.068
Europe,2022,Nuclear,3257.7788
Europe,2022,Renewables,6345.0024
North America,1965,Fossil,52763.68
North America,1965,Nuclear,38.798218
North America,1965,Renewables,3494.1838
North America,1966,Fossil,54844.68
North America,1966,Nuclear,57.517265
North America,1966,Renewables,3597.0742
North America,1967,Fossil,55709.547
North America,1967,Nuclear,77.91129
North America,1967,Renewables,3846.5354
North America,1968,Fossil,58250.67
North America,1968,Nuclear,131.32993
North America,1968,Renewables,3849.6936
North America,1969,Fossil,60143.8
North America,1969,Nuclear,139.01332
North America,1969,Renewables,4207.283
North America,1970,Fossil,61497.777
North America,1970,Nuclear,215.61952
North America,1970,Renewables,4194.971
North America,1971,Fossil,61538.04
North America,1971,Nuclear,392.21527
North America,1971,Renewables,4352.2153
North America,1972,Fossil,63647.387
North America,1972,Nuclear,557.80774
North America,1972,Renewables,4542.402
North America,1973,Fossil,65460.54
North America,1973,Nuclear,883.2057
North America,1973,Renewables,4607.66
North America,1974,Fossil,62696.234
North America,1974,Nuclear,1136.366
North America,1974,Renewables,4945.906
North America,1975,Fossil,59796.133
North America,1975,Nuclear,1614.1669
North America,1975,Renewables,4771.295
North America,1976,Fossil,62240.13
North America,1976,Nuclear,1790.9309
North America,1976,Renewables,4704.907
North America,1977,Fossil,63210.137
North America,1977,Nuclear,2344.4756
North America,1977,Renewables,4189.5396
North America,1978,Fossil,63065.438
North America,1978,Nuclear,2560.424
North America,1978,Renewables,4740.9995
North America,1979,Fossil,63192.242
North America,1979,Nuclear,2377.4492
North America,1979,Renewables,4767.595
North America,1980,Fossil,60257.855
North America,1980,Nuclear,2327.7842
North America,1980,Renewables,4713.0586
North America,1981,Fossil,57793.664
North America,1981,Nuclear,2484.3545
North America,1981,Renewables,4719.321
North America,1982,Fossil,54293.72
North America,1982,Nuclear,2518.0813
North America,1982,Renewables,4957.2153
North America,1983,Fossil,52886.965
North America,1983,Nuclear,2645.3247
North America,1983,Renewables,5146.296
North America,1984,Fossil,54892.496
North America,1984,Nuclear,2897.6423
North America,1984,Renewables,5218.7954
North America,1985,Fossil,54011.25
North America,1985,Nuclear,3344.9968
